algorithm,sourceFile,nodeCount,calculationMillis,calculationPlusDrawMillis,drawOnlyMillis,width,height,area,aspectRatio,leafCount,straightLineMin,straightLineMax,straightLineAvg,pathLengthMin,pathLengthMax,pathLengthAvg
FLCD,Balanced_Tree_5k_2Node.txt,5000,31.7661,1080.6899,1048.9238,3290.0000,2340.0000,7698600.0000,1.4060,2500,11.1803,2125.1471,1048.4146,2516.0404,6115.2019,4132.0458
FLCD,Balanced_Tree_5k_3Node.txt,5000,29.8886,1123.7187,1093.8301,3403.6533,3041.8396,10353367.4054,1.1189,3333,458.3291,2501.7103,1312.9348,1729.5781,4946.1449,3279.0060
FLCD,Balanced_Tree_5k_4Node.txt,5000,30.7325,1070.5339,1039.8014,2820.0000,2805.0000,7910100.0000,1.0053,3750,775.0645,1510.0083,1137.6415,1860.1449,3098.6941,2448.2570
FLCD,Balanced_Tree_5k_5Node.txt,5000,27.6225,1058.9149,1031.2924,3546.3819,2719.9736,9646064.9946,1.3038,4000,755.1944,2295.4858,1324.3029,1534.4094,4119.2035,2502.9611
FLCD,Balanced_Tree_5k_6Node.txt,5000,27.9628,1103.7585,1075.7957,3147.6597,2788.0831,8775936.8659,1.1290,4166,637.2770,1871.9706,1334.4202,990.5991,3337.1370,2424.3754
FLCD,Balanced_Tree_5k_7Node.txt,5000,33.7361,1074.7175,1040.9814,4424.3095,2843.9360,12582453.0943,1.5557,4285,1136.7481,3047.8629,1910.5602,1534.9931,4810.7789,2987.6957
FLCD,Balanced_Tree_5k_8Node.txt,5000,27.0830,1102.1364,1075.0534,5137.5945,3451.1984,17730858.0188,1.4886,4375,1465.6333,3511.8709,1887.1495,1908.7994,4798.5363,2628.9357
FLCD,Balanced_Tree_5k_9Node.txt,5000,27.9823,1046.9109,1018.9286,5262.1592,4003.4252,21066660.6641,1.3144,4444,430.9750,2646.0871,2278.8191,631.2270,3781.8150,3031.9449
FLCD,Balanced_Tree_5k_10Node.txt,5000,33.7290,1105.5526,1071.8236,4921.4555,4120.6236,20279465.6732,1.1943,4500,482.1447,3180.2017,2646.1171,697.4089,4436.5719,3459.8434
FLCD,Balanced_Tree_5k_11Node.txt,5000,21.9891,1069.8964,1047.9073,5178.6301,4317.3552,22357985.4878,1.1995,4545,635.1309,4453.7332,3251.9571,865.4201,5997.8164,4098.8689
FLCD,Balanced_Tree_5k_12Node.txt,5000,21.4075,1085.7007,1064.2932,6001.4737,4433.1149,26605222.1858,1.3538,4583,695.5013,5202.3272,3461.4856,940.7974,6882.0838,4324.7816
FLCD,Balanced_Tree_5k_13Node.txt,5000,22.6229,1046.9617,1024.3388,7920.5022,2931.8853,23222003.8235,2.7015,4615,877.3463,6948.1258,3846.1921,1137.6573,8961.2596,4692.8152
FLCD,Balanced_Tree_5k_14Node.txt,5000,22.5738,1133.5761,1111.0023,7952.9352,2730.0000,21711513.1072,2.9132,4642,947.0293,6871.1385,3544.6532,1222.3445,8582.2525,4308.5930
FLCD,Balanced_Tree_5k_15Node.txt,5000,28.4132,1135.8035,1107.3903,6703.5256,2806.1128,18810849.3214,2.3889,4666,1157.6776,5353.6396,2505.8830,1448.0023,6713.1519,3113.5697
Reingold-Tilford,Balanced_Tree_5k_2Node.txt,5000,5.6259,1089.0429,1083.4170,37495.0000,310.0000,11623450.0000,120.9516,2500,275.0587,21386.4206,9572.2050,16152.6227,21436.3152,18448.1489
Reingold-Tilford,Balanced_Tree_5k_3Node.txt,5000,7.5610,1173.0196,1165.4586,49990.0000,210.0000,10497900.0000,238.0476,3333,175.0904,30025.0411,13009.6402,3710.7128,30048.4696,19320.4230
Reingold-Tilford,Balanced_Tree_5k_4Node.txt,5000,6.5991,1111.6210,1105.0219,56230.0000,160.0000,8996800.0000,351.4375,3750,150.0469,29771.6279,14113.2259,9327.3382,29786.9442,19042.2468
Reingold-Tilford,Balanced_Tree_5k_5Node.txt,5000,6.2945,1178.6045,1172.3100,59972.5000,160.0000,9595600.0000,374.8281,4000,125.0141,34194.7040,15293.0412,2438.2587,34206.0471,19053.7232
Reingold-Tilford,Balanced_Tree_5k_6Node.txt,5000,5.7075,1032.9457,1027.2382,62485.0000,135.0000,8435475.0000,462.8519,4166,125.2248,35287.7214,15886.6356,8103.9777,35296.7363,20581.8898
Reingold-Tilford,Balanced_Tree_5k_7Node.txt,5000,5.8100,1071.2309,1065.4209,64270.0000,135.0000,8676450.0000,476.0741,4285,100.1581,39560.8225,16928.9382,1629.5760,39568.2705,22285.4060
Reingold-Tilford,Balanced_Tree_5k_8Node.txt,5000,4.6494,1092.4786,1087.8292,65575.0000,135.0000,8852625.0000,485.7407,4375,100.2809,34387.7272,16444.4014,3946.8440,34394.1132,18727.4164
Reingold-Tilford,Balanced_Tree_5k_9Node.txt,5000,4.6925,1086.5488,1081.8563,66632.5000,110.0000,7329575.0000,605.7500,4444,100.0703,35741.3899,16752.4727,2598.8738,35746.9030,19475.2665
Reingold-Tilford,Balanced_Tree_5k_10Node.txt,5000,5.1906,1095.5789,1090.3883,67435.0000,110.0000,7417850.0000,613.0455,4500,100.2809,37087.6348,17033.6433,1261.3451,37092.5006,19944.0666
Reingold-Tilford,Balanced_Tree_5k_11Node.txt,5000,6.5233,1086.2207,1079.6974,68140.0000,110.0000,7495400.0000,619.4545,4545,100.2809,38602.6295,17338.1032,8737.5361,38606.9810,21482.8845
Reingold-Tilford,Balanced_Tree_5k_12Node.txt,5000,5.8996,1091.6862,1085.7866,68695.0000,110.0000,7556450.0000,624.5000,4583,100.2809,40282.6241,17682.1818,4199.9966,40286.5580,21523.7868
Reingold-Tilford,Balanced_Tree_5k_13Node.txt,5000,6.9265,1067.4270,1060.5005,69175.0000,110.0000,7609250.0000,628.8636,4615,75.3741,42187.6185,18121.8111,418.3494,42191.2075,22861.7653
Reingold-Tilford,Balanced_Tree_5k_14Node.txt,5000,5.7745,1070.0364,1064.2619,69625.0000,110.0000,7658750.0000,632.9545,4642,75.0937,42266.3683,18207.1105,708.3303,42269.6660,22196.1246
Reingold-Tilford,Balanced_Tree_5k_15Node.txt,5000,4.7757,1088.3338,1083.5581,69962.5000,110.0000,7695875.0000,636.0227,4666,75.0234,40205.7494,17883.8386,1117.1679,40208.7996,20331.6232
